id,title,alternative_title,type,year,pages,image_url,file_url,abstract
D54,Góc nhìn cận cảnh :Thế giới và Biển Đông sau phán quyết của Tòa Trọng tài /Trần Nam Tiến (Chủ biên) và những người khác,,book,2025.0,253 tr. :Minh họa,,,
D55,"Lịch sử thủy lợi Việt Nam /Phan Khánh (Chủ biên), Nguyễn Ân Niên, Nguyễn Ty Niên",,book,2024.0,520 tr. :Minh họa,,,
D56,"Lý thuyết về dịch thuật :Một dẫn nhập ngắn /Bùi Thị Ngọc Lan, Nguyễn Văn Hà, Nguyễn Vương Tuấn",The theory of translation : a very short introduction,book,2025.0,"158 tr. ;16,5 cm",,,
D57,Triết học tổng quát :Vấn đề triết học /Nguyễn Văn Trung,,book,2024.0,216 tr. ;20 cm,,,
D58,"Huế và triều Nguyễn, theo dấu thời gian /Đỗ Minh Điền",,book,2024.0,296 tr. :Minh họa ;23 cm,,,
D59,Tiếng Việt chữ nghĩa - Hồn vía dân gian /Phạm Văn Tình,,book,2025.0,268 tr. ;21 cm,,,
D60,Việt Nam sử luận :Góc nhìn đa chiều /Trịnh Vĩnh Thường; Nguyễn Phúc An (dịch và khảo chú),,book,2025.0,384 tr. :Minh họa ;24 cm,,,
D61,Đối thoại với Lý Quang Diệu :Nhà nước công dân Singapore : cách thức xây dựng một quốc gia /Tom Plate; Nguyễn Hằng dịch,Conversations with Lee Kuan Yew,book,2011.0,"266 tr. :Minh họa ;20,5 cm",,,
D62,Python cơ bản /Bùi Việt Hà,,book,2024.0,140 tr. ;27 cm.,,,
D63,"Luật An toàn thực phẩm quy định mới về thanh tra, xử phạt vi phạm hành chính trong lĩnh vực an toàn thực phẩm ở các cơ quan, doanh nghiệp, hộ kinh doanh, nhà hàng, khách sạn, quán ăn /Thu Phương (Hệ thống)",,book,2022.0,384 tr. ;28 cm,,,
D64,Lý thuyết điều khiển tự động thông thường và hiện đại :Quyển 2: Hệ xung số /Nguyễn Thương Ngô,,book,2009.0,200 tr. ;24 cm.,,,
D65,Phân tích công cụ /Trần Thị Thúy,,book,2016.0,196 tr. ;24 cm,,,
D66,Giáo trình kỹ thuật bao bì thực phẩm /Đống Thị Anh Đào,,book,2020.0,404 tr. ;24 cm,,,
D67,Sinh lý thực vật ứng dụng /Vũ Văn Vụ,,book,1999.0,148 tr. ;21 cm,,,
D68,"Trở thành người bán hàng xuất sắc :21 cách tuyệt vời để bán được nhiều hơn, nhanh hơn, dễ dàng hơn trong những thị trường khó khăn /Brian Tracy; Quế Hương dịch",Be a sales superstar,book,2016.0,"140 tr. ;20,5 cm",,,
D69,Dinh dưỡng học /Đào Thị Yến Phi (chủ biên) và các tác giả khác,,book,2020.0,"xiv, 541 tr. ;27 cm",,,
D70,"Thế mới là marketing :Sẽ chẳng ai biết đến bạn, trừ khi bạn học được cách tự tỏa sáng /Seth Godin; Phan Thu dịch",This is marketing,book,2019.0,366 tr.,,,
D71,Thế giới ảo thương hiệu thật :Bí quyết xây dựng thương hiệu cá nhân thành công trên nền tảng mạng xã hội /Gary Vaynerchuk; Nguyễn Thu Hương dịch,Crushing it!,book,2019.0,"378 tr. ;20,5 cm",,,
D72,"Giáo trình hóa sinh thực vật /Trần Thị Lệ (Chủ biên), Võ Văn Quang",,book,2006.0,284 tr. ;21 cm,,,
D73,Influencer :Xây dựng thương hiệu cá nhân trong kỷ nguyên 4.0 /Brittany Hennessy; Linh Nguyên dịch,Influencer: building your personal brand in the age of social media,book,2019.0,342 tr. ;20 cm,,,
D74,Phương pháp thiết kế tuyến clothoid cho đường ô tô /Nguyễn Xuân Vinh,,book,2006.0,238 tr. :Minh họa ;27 cm,,,
D75,"Máy móc, nền tảng, cộng đồng :Làm chủ tương lai kỹ thuật số của chúng ta /Andrew McAfee, Erik Brynjolfsson; Phạm Ngọc Thắng dịch","Machine, platform, crowd",book,2020.0,379 tr. :Minh họa ;24 cm,,,
D76,"Giáo trình Thủ tục hành chính (Dùng cho đào tạo Đại học Hành chính) /Nguyễn Văn Thâm, Võ Kim Sơn",,book,2012.0,151 tr. ;21 cm,,,
D77,Giáo trình Tâm lý học đại cương /Huỳnh Văn Sơn và các tác giả khác,,book,2016.0,229 tr. ;24 cm,,,
D78,Giáo trình tối ưu tuyến tính :Quyển 2 /Trần Vũ Thiệu,,book,2023.0,221 tr. :Minh họa,,,
D79,Giáo trình tối ưu tuyến tính :Quyển 1 /Trần Vũ Thiệu,,book,2023.0,110 tr. :Minh họa,,,
D80,Giáo trình thủy năng /Hồ Sỹ Dự (chủ biên) và những người khác,,book,2024.0,350 tr. :Minh họa,,,
D81,"Định hình mạng 6G trong tương lai :Sự cần thiết, tác động và công nghệ /Emmanuel Bertin, Noel Crespi, Thomas Magedanz (biên soạn), Lê Tiến Hưng dịch","Shaping future 6G networks : needs, impacts and technologies",book,2025.0,462 tr. :Minh họa,,,
D82,"Giáo trình Tâm lý học quản lý /Hoàng Thị Thu Hiền, Nguyễn Thị Lan",,book,2012.0,346 tr.,,,
D83,Các phương pháp sơ đồ mạng trong xây dựng /Trịnh Quốc Thắng,,book,2012.0,174 tr. ;21 cm.,,,
D84,Chiếu sáng đường giao thông nông thôn /Vũ Phương Thảo (chủ biên) và những người khác,,book,2025.0,239 tr. ;Minh họa,,,
D85,Giáo trình thủy điện /Nguyễn Văn Nghĩa (chủ biên) và những người khác,,book,2024.0,366 tr. :Minh họa,,,
D86,Chủ nghĩa tự do của Hayek /Gilles Dostaler; Nguyễn Đôn Phước dịch,,book,2008.0,185 tr.,,,
D87,Giáo trình xã hội học giáo dục /Lê Ngọc Lan,,book,2005.0,129 tr. ;24 cm.,,,
D88,"Giáo trình toán ứng dụng trong kỹ thuật /Ngô Như Khoa, Ôn Ngũ Minh, Phạm Thị Thu Hằng",,book,2019.0,321 tr. :Minh họa ;24 cm,,,
D89,Giáo trình tâm lí học giáo dục /Nguyễn Đức Sơn và những người khác,,book,2015.0,319 tr. ;24 cm,,,
D90,Giáo trình Văn thư /Triệu Văn Cường,,book,2016.0,367 tr. ;24 cm.,,,
D91,"Giáo trình quyền lực chính trị :Dùng cho hệ đào tạo cử nhân Chính trị học /Lê Minh Quân (chủ biên), Lưu Minh Văn",,book,2017.0,310 tr ;24 cm,,,
D92,"Giáo trình mạng truyền thông công nghiệp /Phạm Thị Lý (chủ biên), Vũ Thị Quỳnh, Nguyễn Nhật Thanh, Lại Bạch Thị Thu Hà",,book,2024.0,198 tr. :Minh họa,,,
D93,"Giáo trình lịch sử ngoại giao Việt Nam /Hoàng Thị Mỹ Hạnh, Hà Thị Thu Thủy",,book,2020.0,163 tr. ;24 cm,,,
D94,"Giáo trình địa chất đại cương và địa chất lịch sử /Phùng Ngọc Đĩnh, Lương Hồng Nhược",,book,2010.0,203 tr. :Minh họa ;24 cm,,,
D95,"Giáo trình thực hành điện tử công suất (Mạch nghịch lưu) /Lê Hoàng Minh, Lê Thanh Đạo, Bùi Thị Tuyết Đan",,book,2017.0,316 tr. ;24 cm,,,
D96,Giáo trình chính sách đối ngoại của một số nước lớn trên thế giới /Phạm Minh Sơn (chủ biên) và những người khác,,book,2020.0,"323 tr. ;20,5 cm",,,
D97,Tổng hợp ancol từ H2/CO :Sách chuyên khảo /Nguyễn Tiến Thảo,Synthesis of alcohols from H2/CO,book,2020.0,196 tr. :Minh họa ;24 cm,,,
D98,Giáo trình Thống kê đầu tư và xây dựng /Phan Công Nghĩa,,book,2010.0,702 tr. ;21 cm.,,,
D99,"Giáo trình cao học thủy lợi - Mô hình toán thủy văn /Lê Văn Nghinh (chủ biên), Bùi Công Quang, Hoàng Thanh Tùng",,book,2006.0,162 tr. :Minh họa ;27 cm,,,
D100,Thực hành sửa chữa màn hình tinh thể lỏng /Vân Anh,,book,2009.0,659 tr. :Minh họa ;24 cm,,,
D101,Hóa sinh thực phẩm /Đàm Sao Mai (chủ biên) và nhóm tác giả,,book,2009.0,309 tr.,,,
D102,"Giáo trình Quản lý chất lượng và luật thực phẩm /Lê Nguyên Đoan Huy, Nguyễn Công Hà",,book,2014.0,194 tr.,,,
D103,Giáo trình giảng dạy bậc đại học: Hành vi người tiêu dùng - Định hướng ứng dụng /Hồ Huy Tựu,,book,2026.0,222 tr,,,
D104,Miễn dịch học /Đại học Y Hà Nội,,book,2025.0,216 tr,,,
D105,Dinh dưỡng trong nuôi trồng thủy sản /Phạm Đức Hùng,,book,2024.0,775tr :Hình ảnh ;24cm,,,
D106,Phân tích tài chính doanh nghiệp /Võ Văn Cần,,book,2024.0,116tr :Bảng biểu ;21cm,,,
D107,,,book,2015.0,93 tr.,,,
D108,Cảng nội địa (Lưu hành nội bộ) /Bộ môn Khoa học Hàng hải,Inland Clearance Depot,book,2024.0,98 tr.,,,
D109,,,book,2019.0,346tr : ;24 cm,,,
D110,Kế toán tài chính 3,,book,2025.0,258 tr.,,,
D111,Giới thiệu hệ thống báo cáo tài chính /Võ Văn Cần,,book,2024.0,116tr :Bảng biểu ;21cm,,,
D112,Bài giảng Thiết bị tàu thủy :Lưu hành nội bộ /Nguyễn Thái Vũ,,book,2018.0,148 tr.,,,
D113,Ươm giống và Trồng thương phẩm rong biển /Lê Anh Tuấn,,book,2024.0,43tr :Hình ảnh ;21cm,,,
D114,Kỹ thuật Sản xuất giống và trồng Rong biển :Bài giảng dành cho sinh viên các lớp Nuôi trồng thủy sản /Lê Anh Tuấn,,book,2024.0,317tr :Hình ảnh ;21cm,,,
D115,Quy hoạch và Phát triển Thủy sản /Lê Anh Tuấn,,book,2024.0,210tr :Hình ảnh ;21cm,,,
D116,Chuẩn mực báo cáo tài chính quốc tế,,book,2025.0,117 tr.,,,
D117,Lập và phân tích báo cáo tài chính theo IFRS,,book,2025.0,120 tr.,,,
D118,Kỹ thuật nuôi trồng thủy sản /Trần Văn Dũng,,book,2023.0,305tr :Hình ảnh ;21cm,,,
D119,Kiểm tra vật liệu và NDT /Huỳnh Văn Vũ,,book,2024.0,40 tr. :24 cm,,,
D120,Phương pháp nghiên cứu khoa học /Huỳnh Văn Vũ,,book,2024.0,271 tr.,,,
D121,Kỹ thuật Hàn tàu thủy. Phần 2 /Huỳnh Văn Vũ,,book,2009.0,100 tr. :24 cm,,,
D122,Quy hoạch và quản lý nuôi trồng thủy sản /Lê Anh Tuấn,,book,2024.0,193tr :Hình ảnh ;21cm,,,
D123,"Tổng hợp văn bản pháp luật năm 2023 :Học phần Luật kinh doanh /Hoàng Thu Thuỷ, Nguyễn Thị Hà Trang",,book,2023.0,482tr ;21cm,,,
D124,"Thực hành thực vật và động vật phù du /Trương Thị Bích Hồng (chủ biên), Nguyễn Thị Thúy, Trần Thị Lê Trang",,book,2024.0,83tr :Hình ảnh ;24cm,,,
D125,Hình thái phân loại giáp xác và động vật thân mềm /Vũ Trọng Đại,,book,2024.0,497tr :Hình ảnh,,,
D126,Bài giảng Nhiên liệu và môi chất chuyên dùng - Dùng cho động cơ đốt trong :(Bài giảng dùng cho học viên ngành động lực Đại học Nha Trang) - Lưu hành nội bộ /Hồ Đức Tuấn,,book,2020.0,127 tr.,,,
D127,Bài giảng Đại lý tàu biển và giao nhận hàng hóa :Lưu hành nội bộ /Hồ Đức Tuấn,,book,2016.0,100 tr.,,,
D128,"Bài giảng Bảo vệ môi trường biển - Vấn đề và giải pháp :Chương 9, Chương 10 /Hồ Đức Tuấn",,book,2024.0,7 tr.,,,
D129,"English for Engineering. Book 2 :Marine diesel and auxiliary engines /Hồ Đức Tuấn, Huỳnh Văn Vũ",,book,2021.0,128 tr.,,,
D130,"Bài giảng Máy và thiết bị nâng hạ tàu thủy :(Lưu hành nội bộ) /Nguyễn Thái Vũ, Hồ Đức Tuấn",,book,2024.0,190 tr.,,,
D131,Nhập môn ngành cơ điện tử /Nguyễn Văn Định,,book,2024.0,160tr :Hình ảnh,,,
D132,Bài giảng Động cơ đốt trong /Hồ Đức Tuấn,,book,2023.0,259 tr.,,,
D133,Kỹ thuật thi công và lắp đặt hệ thống lạnh và điều hòa không khí /Nguyễn Đình Khương,,book,2024.0,627tr :Hình ảnh,,,
D134,Maritime English /Hồ Đức Tuấn (chủ biên) và những người khác,English - Maritime,book,2024.0,153 tr.,,,
D135,Quản lý khai thác cảng /Hồ Đức Tuấn,,book,2023.0,121 tr. ;,,,
D136,Giáo trình Công nghệ đóng sửa tàu phi kim loại /Phạm Thanh Nhựt,,book,2022.0,179 tr. :Minh họa ;27 cm,,,
D137,Phương pháp nghiên cứu khoa học trong nuôi trồng thủy sản /Lê Minh Hoàng,Scientific Research Methodology in Aquaculture,book,2024.0,146 tr. ;,,,
D138,Hướng dẫn bài tập chuyên ngành Kỹ thuật tàu thủy /Phạm Thanh Nhựt,,book,2021.0,204 tr. :Minh họa ;27 cm,,,
D139,Lý thuyết tài chính - tiền tệ /Võ Văn Cần (chủ biên) và tập thể bộ môn Tài chính - Ngân hàng,,book,2022.0,287 tr. :bảng biểu ;24 cm,,,
D140,Bài giảng pháp luật về hàng hải :Phần II /Bộ môn hàng hải,,book,2018.0,61 tr.,,,
D141,Bài giảng pháp luật hàng hải :Phần I /Bộ môn hàng hải,,book,2019.0,61 tr.,,,
D142,Bài giảng an toàn cho người và tàu cá /Nguyễn Đức Sĩ,,book,2018.0,129 tr.,,,
D143,"Bài giảng nghiệp vụ thuyền viên /Trần Đức Phú, Vũ Như Tân",,book,2023.0,77 tr.,,,
D144,Kiểm tra khuyết tật kết cấu bê tông bằng phương pháp nhiệt hồng ngoại :Sách chuyên khảo /Trần Quang Huy,Infrared thermography in detecting deteriorations in concrete structures,book,2022.0,156 tr. ;30 cm,,,
D145,Ứng dụng VISSIM trong mô hình dòng giao thông /Trần Quang Duy (Chủ biên) và các tác giả khác,,book,2024.0,91 tr. ;27 cm,,,
D146,"Thiết kế công trình kháng chấn bằng phương pháp phổ phản ứng dao động /Trần Quang Huy (chủ biên), Đặng Quốc Mỹ, Lê Thanh Cao",,book,2021.0,133 tr. ;27 cm,,,
D147,Marketing dịch vụ công /Nguyễn Hoài Long,,book,2025.0,102 tr. ;,,,
D148,"Destination management/ Nguyen Thanh Quang, Le Chi Cong",,book,2023.0,108 p.,,,
D149,Quản trị kinh doanh lữ hành,,book,2025.0,168 tr.,,,
D150,Luật du lịch Việt Nam và Quốc tế /Bộ môn Quản trị du lịch Dịch vụ và Lữ hành,,book,2025.0,367 tr. ;,,,
D151,Phân tích mức độ sẵn sàng chuyển đổi số của doanh nghiệp nhỏ và vừa trên địa bàn tỉnh Khánh Hòa /Nguyễn Toàn Dũng; Nguyễn Văn Ngọc: GVHD,,thesis,2025.0,77 tr. ;27 cm,,,
D152,Nâng cao chất lượng dịch vụ cấp giấy phép sử dụng tần số và thiết bị vô tuyến điện tại Trung tâm Tần số vô tuyến điện khu vực VII – Cục Tần số vô tuyến điện /Nguyễn Tuấn Ngọc; Nguyễn Thị Nga: GVHD,,thesis,2025.0,69 tr. :bảng biểu ;27 cm,,,
D153,"Đánh giá dự án phát triển sản xuất nông, lâm nghiệp bền vững, phát huy tiềm năng, thế mạnh của các vùng miền để sản xuất hàng hóa theo chuỗi giá trị tại xã Ba Cụm Bắc, huyện Khánh Sơn, tỉnh Khánh Hòa /Nguyễn Thị My; Phạm Thành Thái: GVHD",,thesis,2025.0,66 tr. ;27 cm,,,
D154,"Các nhân tố ảnh hưởng đến khả năng chuyển đổi số của doanh nghiệp vừa và nhỏ trên địa bàn thành phố Nha Trang, tỉnh Khánh Hòa /Mai Văn Vương; Phạm Thành Thái: GVHD",,thesis,2025.0,65 tr. ;27 cm,,,
D155,Đánh giá ảnh hưởng của sinh khối nấm men Saccharomyces cerevisiae trong dịch thủy phân rong sụn Kappaphycus alvarezii đến giai đoạn nuôi lưu hàu Thái Bình Dương /Nguyễn Thị Hà Trang; Phạm Thị Minh Hải: GVHD,,thesis,2025.0,"61 tr. :biểu đồ, ảnh màu ;27 cm",,,
D156,"Phân lập, tuyển chọn chủng Parvovirus tiềm năng cho sản xuất vắc xin phòng bệnh khô thai trên lợn /Trịnh Thị Thu Hằng; Vũ Khắc Hùng, Nguyễn Văn Duy: GVHD",,thesis,2025.0,114 tr. :minh họa ;27 cm,,,
D157,Đánh giá thực trạng và xây dựng giải pháp kiểm soát vi sinh vật gây bệnh tại các cơ sở sản xuất nước đá dùng liền tỉnh Khánh Hòa /Nguyễn Thị Lài; Lê Phương Chung: GVHD,,thesis,2025.0,"59 tr. :biểu đồ, ảnh màu ;27 cm",,,
D158,"Nghiên cứu ảnh hưởng của phương pháp dẫn truyền vaccine SiV lên khả năng kháng vi khuẩn Streptococcus iniae ở cá chẽm (Lates calcarifer Bloch, 1790) /Nguyễn Đức Toàn; Nguyễn Thị Thanh Thùy, Trần Vĩ Hích: GVHD",,thesis,2025.0,56 tr. :hình ảnh ;27 cm,,,
D159,"Nghiên cứu lựa chọn và ứng dụng một số chủng vi tảo trong sản xuất giống tôm he (Penaeus) tại Việt Nam /Mai Đức Thao; Phạm Quốc Hùng, Kim Jye Lee Chang: GVHD",,thesis,2025.0,153 tr. :Minh họa ;27 cm,,,
D160,"Các nhân tố ảnh hưởng đến thu nhập của nông hộ trồng cà phê tại huyện M'Drắk, tỉnh Đắk Lắk /Vũ Tấn Kiệt; Trương Ngọc Phong: GVHD",,thesis,2025.0,63 tr. ;27 cm,,,
D161,"Hoàn thiện công tác quản lý thuế thu nhập doanh nghiệp tại Chi cục thuế thành phố Nha Trang, tỉnh Khánh Hòa /Lê Thị Thúy Lan; Lê Kim Long: GVHD",,thesis,2025.0,108 tr. ;27 cm,,,
D162,Các nhân tố ảnh hưởng đến sự tuân thủ thuế của các doanh nghiệp có vốn đầu tư nước ngoài tại địa bàn tỉnh Khánh Hòa /Bùi Đình Khánh; Hồ Huy Tựu: GVHD,,thesis,2025.0,108 tr. ;27 cm,,,
D163,Hoàn thiện công tác quản lý thuế đối với hộ kinh doanh tại Chi cục Thuế khu vực nam Khánh Hòa /Trần Thị Mai; Phạm Thế Anh: GVHD,,thesis,2025.0,82 tr. ;27 cm,,,
D164,"Nâng cao chất lượng đội ngũ cán bộ, công chức tại Sở Văn hóa, Thể thao và Du lịch tỉnh Phú Yên /Đoàn Thị Tô Huỳnh; Bùi Bích Xuân: GVHD",,thesis,2025.0,"70 tr. :bảng, biểu đồ ;27 cm",,,
D165,"Phát triển sinh kế bền vững cho hộ đồng bào dân tộc thiểu số tại huyện Khánh Vĩnh, tỉnh Khánh Hòa /Cao Thị Ngọc Thanh; Nguyễn Văn Ngọc: GVHD",,thesis,2025.0,98 tr. ;27 cm,,,
D166,"Nghiên cứu khả năng sử dụng hai loài vi tảo Thalassiosira weissflogii và Chaetoceros muelleri trong ương nuôi ấu trùng tôm sú (Penaeus monodon Fabricius, 1798) /Đặng Lê Phương Vy; Lục Minh Diệp: GVHD",,thesis,2025.0,67 tr. :Minh họa ;27 cm,,,
D167,"Nghiên cứu một số đặc tính sinh học của chủng vi khuẩn Riemerella anatipestifer định hướng sản xuất vắc xin phòng bệnh nhiễm trùng huyết ở vịt /Tăng Mạnh Nhật; Lê Phương Chung, Lê Đình Hải: GVHD",,thesis,2025.0,48 tr. :Minh họa ;27 cm,,,
D168,"Các nhân tố ảnh hưởng đến hành vi phân loại rác tại nguồn của người dân trên địa bàn thành phố Cam Ranh, tỉnh Khánh Hòa /Phạm Thị Hồng Lệ; Phạm Thành Thái: GVHD",,thesis,2025.0,75 tr. ;27 cm,,,
D169,Tác động của giáo dục và đào tạo nghề đến khả năng tìm việc của lao động trẻ tại tỉnh Khánh Hòa /Lý Phương Tài; Phạm Thành Thái: GVHD,,thesis,2025.0,86 tr. ;27 cm,,,
D170,Dự đoán liên kết về học thuật dựa trên ontology /Thịnh Thị Thúy; Phạm Thị Thu Thúy: GVHD,,thesis,2025.0,65 tr. :Minh họa ;27 cm,,,
D171,"Đa dạng thành phần loài và mối quan hệ tiến hóa của giáp xác ký sinh trên vật chủ cua bơi Thalamita crenata Rüppell, 1830 tại vịnh Nha Trang, Khánh Hòa /Nguyễn Phương Liên; Đặng Thúy Bình, Nguyễn Thị Hải Thanh: GVHD",,thesis,2025.0,66 tr. :Minh họa ;27 cm,,,
D172,"Nghiên cứu sự biến đổi chất lượng của phi lê cá chim vây vàng trong quá trình bảo quản đông /Nguyễn Hồng Duyên; Mai Thị Tuyết Nga, Huỳnh Thị Ái Vân: GVHD",,thesis,2025.0,85 tr. ;27 cm,,,
